Item Code,Brand,Category Name,Sub Category Name,UPCItem,UPCCase,Item Description,Size,Store Pack,ADV_Brand,ADV_Category,ADV_SubCategory,ADV_ItemDescrip,ADV_ItemUPC,ADV_CaseUPC10,ADV_Size,ADV_StorePack,RptLvlFilter
13929,MCCORMICK,"SALT, SEASONINGS, SPICES",SPICES & SEASONINGS,5210001083,5210001083,GARLIC POWDER,23 OZ,1,MCCORMICK,null,null,GARLIC POWDER,5210001083,5210001083,23 OZ,1,INCLUDE
13933,MCCORMICK,"SALT, SEASONINGS, SPICES",SPICES & SEASONINGS,5210001048,5210001048,CHILI POWDER DARK,20 OZ,1,MCCORMICK,"SALT, SEASONINGS, SPICES",SPICES & SEASONINGS,null,5210001048,null,20 OZ,1,INCLUDE
13934,MCCORMICK,"SALT, SEASONINGS, SPICES",PEPPER,5210001080,5210001080,BLACK PEPPER GROUND,18 OZ,1,null,"SALT, SEASONINGS, SPICES",null,BLACK PEPPER GROUND,5210001080,null,18 OZ,1,INCLUDE
13935,MCCORMICK,"SALT, SEASONINGS, SPICES",DRY SEASONING MIX,5210001074,5210001074,ROTISERY CHIC SEAS,24 OZ,1,null,"SALT, SEASONINGS, SPICES",DRY SEASONING MIX,ROTISERY CHIC SEAS,5210001074,5210001074,24 OZ,1,INCLUDE
13937,MCCORMICK,"SALT, SEASONINGS, SPICES",DRY SEASONING MIX,5210030246,5210032375,TACO SEASONING,24 OZ,1,MCCORMICK,"SALT, SEASONINGS, SPICES",DRY SEASONING MIX,TACO SEASONING,null,null,24 OZ,null,INCLUDE
13938,MCCORMICK,"SALT, SEASONINGS, SPICES",SPICES & SEASONINGS,5210001047,5210001047,PARSLEY FLAKES,2 OZ,1,MCCORMICK,null,null,PARSLEY FLAKES,5210001047,5210001047,null,1,INCLUDE
13942,MCCORMICK,"SALT, SEASONINGS, SPICES",SPICES & SEASONINGS,5210001068,5210001068,CINNAMON GRD,18 OZ,1,MCCORMICK,"SALT, SEASONINGS, SPICES",SPICES & SEASONINGS,CINNAMON GRD,5210001068,5210001068,null,1,INCLUDE
13944,MCCORMICK,"SALT, SEASONINGS, SPICES",SPICES & SEASONINGS,5210001761,5210001761,ONION CHOPPED,15.5 OZ,1,MCCORMICK,"SALT, SEASONINGS, SPICES",SPICES & SEASONINGS,ONION CHOPPED,5210001761,5210001761,15.5 OZ,1,INCLUDE
15073,LAWRYS,CONDIMENTS & SAUCES,MARINADES,2150001204,2150001204,SWEET ASIAN BARBECUE MARINADE,12 OZ,6,LAWRYS,CONDIMENTS & SAUCES,MARINADES,null,2150001204,2150001204,12 OZ,6,INCLUDE
16283,MCCORMICK,"SALT, SEASONINGS, SPICES",DRY SEASONING MIX,0,5210000017,BROWN GRAVY SHPR,.87 OZ,144,MCCORMICK,null,DRY SEASONING MIX,BROWN GRAVY SHPR,null,null,.87 OZ,144,INCLUDE
16439,FRENCHS,CONDIMENTS & SAUCES,MUSTARD,0,4150085611,YELLOW MUSTARD SHIPPER,20 OZ,36,null,CONDIMENTS & SAUCES,null,YELLOW MUSTARD SHIPPER,0,4150085611,20 OZ,36,INCLUDE
16442,FRENCHS,CONDIMENTS & SAUCES,MUSTARD,0,4150085612,FCH YELLOW MUSTARD DISP,14 OZ,48,FRENCHS,CONDIMENTS & SAUCES,MUSTARD,FCH YELLOW MUSTARD DISP,null,4150085612,14 OZ,48,INCLUDE
24320,LAWRYS,CONDIMENTS & SAUCES,MARINADES,2150001135,2150001135,HERB WINE W LEM GARLIC,12 OZ,6,null,null,MARINADES,HERB WINE W LEM GARLIC,2150001135,2150001135,12 OZ,6,INCLUDE
29926,BILLY BEE,SYRUPS - MOLASSES -  HONEY,SPECIALTY FOODS-HONEY,5850000026,5850000126,HONEY LIQUID WHITE BEAR,12 OZ,6,BILLY BEE,SYRUPS - MOLASSES -  HONEY,SPECIALTY FOODS-HONEY,HONEY LIQUID WHITE BEAR,5850000026,5850000126,12 OZ,6,INCLUDE
29934,BILLY BEE,SPECIALTY FOODS,HONEY,5850000029,5850000029,LIQUID WHITE UPSIDE DOWN SQUEEZE,13 OZ,1,BILLY BEE,SPECIALTY FOODS,null,LIQUID WHITE UPSIDE DOWN SQUEEZE,5850000029,5850000029,null,null,INCLUDE
29942,BILLY BEE,SYRUPS - MOLASSES -  HONEY,SPECIALTY FOODS-HONEY,5850000025,5850000125,LIQUID SQUEEZE BEEHIVE,16 OZ,6,BILLY BEE,SYRUPS - MOLASSES -  HONEY,SPECIALTY FOODS-HONEY,LIQUID SQUEEZE BEEHIVE,null,5850000125,16 OZ,6,INCLUDE
31740,STUBBS,CONDIMENTS & SAUCES,SPECIALTY FOODS-BARBECUE SAUCES,73475600002,73475600002,ORIGINAL BBQ SAUCE,18 OZ,6,STUBBS,CONDIMENTS & SAUCES,SPECIALTY FOODS-BARBECUE SAUCES,ORIGINAL BBQ SAUCE,3475600002,3475600002,null,6,INCLUDE
32037,STUBBS,CONDIMENTS & SAUCES,SPECIALTY FOODS-BARBECUE SAUCES,73475600001,73475600001,SPICY BBQ SAUCE,18 OZ,6,STUBBS,CONDIMENTS & SAUCES,null,null,3475600001,3475600001,18 OZ,6,INCLUDE
32038,STUBBS,CONDIMENTS & SAUCES,SPECIALTY FOODS-BARBECUE SAUCES,73475600010,73475600010,STICKY SWEET BBQ SAUCE,18 OZ,6,STUBBS,CONDIMENTS & SAUCES,SPECIALTY FOODS-BARBECUE SAUCES,STICKY SWEET BBQ SAUCE,3475600010,3475600010,18 OZ,null,INCLUDE
32441,STUBBS,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,73475600003,73475600003,MOPPIN MRND SAUCE,12 OZ,6,STUBBS,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,MOPPIN MRND SAUCE,3475600003,3475600003,12 OZ,6,INCLUDE
32698,STUBBS,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,73475600201,73475600201,BEEF MARINADE,12 OZ,6,STUBBS,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,null,3475600201,3475600201,12 OZ,6,INCLUDE
33860,STUBBS,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,73475600203,73475600203,PORK MARINADE,12 OZ,6,STUBBS,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,PORK MARINADE,3475600203,3475600203,12 OZ,6,INCLUDE
34017,STUBBS,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,73475600202,73475600202,CHICKEN MARINADE,12 OZ,6,STUBBS,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,CHICKEN MARINADE,null,null,null,null,INCLUDE
34018,STUBBS,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,73475600212,73475600212,GREEN CHILE MARINADE,12 OZ,6,null,CONDIMENTS & SAUCES,null,GREEN CHILE MARINADE,null,null,null,6,INCLUDE
34019,STUBBS,SPECIALTY FOODS,SAUCES,73475600400,73475600400,BBQ SLIDER COOKIN SAUCE ALL NATRL GF,12 OZ,1,STUBBS,SPECIALTY FOODS,SAUCES,BBQ SLIDER COOKIN SAUCE ALL NATRL GF,3475600400,3475600400,12 OZ,1,INCLUDE
34020,STUBBS,SPECIALTY FOODS,SAUCES,73475600401,73475600401,CHILI FIXINS COOKIN SAUCE ALL NATRL GF,12 OZ,1,STUBBS,SPECIALTY FOODS,SAUCES,CHILI FIXINS COOKIN SAUCE ALL NATRL GF,3475600401,3475600401,12 OZ,1,INCLUDE
34021,STUBBS,SPECIALTY FOODS,SAUCES,73475600402,73475600402,SMOKEHOUSE BOURBON COOKIN SAUCE ALL NAT GF,12 OZ,1,STUBBS,SPECIALTY FOODS,SAUCES,SMOKEHOUSE BOURBON COOKIN SAUCE ALL NAT GF,3475600402,3475600402,12 OZ,1,INCLUDE
34022,STUBBS,SPECIALTY FOODS,SAUCES,73475600404,73475600404,HATCH CHILE COOKIN SAUCE ALL NATRL GF,12 OZ,1,STUBBS,SPECIALTY FOODS,SAUCES,HATCH CHILE COOKIN SAUCE ALL NATRL GF,3475600404,3475600404,null,1,INCLUDE
36061,FRENCHS,"VEGETABLES, SHELF STABLE",ONIONS,4150022022,4150084560,CRISPY FRIED ONIONS,2.8 OZ,15,FRENCHS,"VEGETABLES, SHELF STABLE",ONIONS,null,4150022022,4150084560,null,15,INCLUDE
36129,FRENCHS,"VEGETABLES, SHELF STABLE",ONIONS,4150022020,4150084090,CRISPY FRIED ONIONS,6 OZ,16,FRENCHS,null,ONIONS,CRISPY FRIED ONIONS,null,4150084090,6 OZ,16,INCLUDE
36814,GOLDEN DIPT,CONDIMENTS & SAUCES,SPECIALTY FOODS-SEAFOOD/COCKTAIL SAUCES,4123401132,4123401132,GD FF LEMON BUTTER DILL,8.7 OZ,6,null,CONDIMENTS & SAUCES,SPECIALTY FOODS-SEAFOOD/COCKTAIL SAUCES,GD FF LEMON BUTTER DILL,4123401132,4123401132,null,6,INCLUDE
37002,GOLDEN DIPT,CONDIMENTS & SAUCES,SPECIALTY FOODS-SEAFOOD/COCKTAIL SAUCES,4123401044,4123401044,FS GOLDEN DIPT TARTAR SAUCE SHIPPER,DISPLAY,36,null,CONDIMENTS & SAUCES,SPECIALTY FOODS-SEAFOOD/COCKTAIL SAUCES,null,4123401044,4123401044,DISPLAY,36,INCLUDE
39904,THAI KITCHEN,SPECIALTY FOODS,ASIAN,73762808250,73762808250,ORGANIC COCONUT MILK LITE,13.66 OZ,1,THAI KITCHEN,SPECIALTY FOODS,null,ORGANIC COCONUT MILK LITE,null,3762808250,13.66 OZ,null,INCLUDE
40999,OLD BAY,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7032801042,7032801042,SEASONING HOT,2.12 OZ,12,OLD BAY,"SALT, SEASONINGS, SPICES",null,SEASONING HOT,null,7032801042,2.12 OZ,12,INCLUDE
42456,THAI KITCHEN,SPECIALTY FOODS,ASIAN,73762801074,73762801074,BROWN RICE NOODLES,8 OZ,1,THAI KITCHEN,SPECIALTY FOODS,ASIAN,BROWN RICE NOODLES,null,3762801074,8 OZ,null,INCLUDE
43042,GOLDEN DIPT,CONDIMENTS & SAUCES,SPECIALTY FOODS-SEAFOOD/COCKTAIL SAUCES,4123401130,4123401130,GD SCAMPI SAUCE,7.5 OZ,1,GOLDEN DIPT,null,SPECIALTY FOODS-SEAFOOD/COCKTAIL SAUCES,GD SCAMPI SAUCE,4123401130,4123401130,7.5 OZ,1,INCLUDE
43554,GOLDEN DIPT,CONDIMENTS & SAUCES,SPECIALTY FOODS-SEAFOOD/COCKTAIL SAUCES,4123401131,4123401131,GD LEMON BUTTER DILL SCE,8.4 OZ,6,GOLDEN DIPT,CONDIMENTS & SAUCES,null,null,null,4123401131,null,6,INCLUDE
47613,LAWRYS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,2150000074,2150007400,LEMON PEPPER,2.25 OZ,12,LAWRYS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,null,2150000074,2150007400,null,null,INCLUDE
47621,LAWRYS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-DRY SEASONING MIX,2150020208,2150020208,LAWRYS CHICKEN FAJITAS,1 OZ,12,LAWRYS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-DRY SEASONING MIX,LAWRYS CHICKEN FAJITAS,2150020208,2150020208,1 OZ,12,INCLUDE
47691,LAWRYS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-DRY SEASONING MIX,2150022500,2150001256,FAJITA SEASONING,1.27 OZ,12,null,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-DRY SEASONING MIX,FAJITA SEASONING,2150022500,null,1.27 OZ,12,INCLUDE
49148,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7142910525,7142910525,BLACKENED SEASONING,3 OZ,12,ZATARAINS,"SALT, SEASONINGS, SPICES",null,BLACKENED SEASONING,7142910525,null,3 OZ,null,INCLUDE
49213,OLD BAY,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7032801043,7032801043,LEMON AND HERB SEASONING,2.37 OZ,12,OLD BAY,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,null,null,7032801043,2.37 OZ,12,INCLUDE
49288,OLD BAY,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7032801041,7032801041,GARLIC N HERB SEASONING,2.25 OZ,12,OLD BAY,null,SPECIALTY FOODS-SPICES,GARLIC N HERB SEASONING,7032801041,7032801041,2.25 OZ,12,INCLUDE
51061,CAJUN INJECTOR,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,2217401963,2217421963,CREOLE GARLIC W INJECTOR PLASTC BTL,16 OZ,6,CAJUN INJECTOR,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,CREOLE GARLIC W INJECTOR PLASTC BTL,2217401963,2217421963,16 OZ,6,INCLUDE
51062,CAJUN INJECTOR,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,2217401953,2217421953,CREOLE BUTTER W INJECTOR PLSTC BOTL,16 OZ,6,CAJUN INJECTOR,null,null,CREOLE BUTTER W INJECTOR PLSTC BOTL,2217401953,2217421953,16 OZ,6,INCLUDE
51664,ZATARAINS,"VEGETABLES, DRIED",SPECIALTY FOODS-PACKAGED FLAVORED RICE,7142909101,7142909101,GUMBO MIX,7 OZ,12,ZATARAINS,"VEGETABLES, DRIED",SPECIALTY FOODS-PACKAGED FLAVORED RICE,GUMBO MIX,7142909101,7142909101,7 OZ,12,INCLUDE
52910,OLD BAY,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7032801040,7032801040,BLACKENED SEASONING,1.75 OZ,12,OLD BAY,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,BLACKENED SEASONING,7032801040,7032801040,null,12,INCLUDE
58222,GOLDEN DIPT,CONDIMENTS & SAUCES,SPECIALTY FOODS-SEAFOOD/COCKTAIL SAUCES,4123401042,4123401042,FS GD COCKTAIL SAUCE SHIPPER,DISPLAY,36,GOLDEN DIPT,null,null,FS GD COCKTAIL SAUCE SHIPPER,4123401042,4123401042,null,36,INCLUDE
58305,CAJUN INJECTOR,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,2217401949,2217421949,RSTD GRLC WITH INJ,16 OZ,1,CAJUN INJECTOR,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,RSTD GRLC WITH INJ,2217401949,null,16 OZ,1,INCLUDE
62620,GOLDEN DIPT,BAKING MIXES,SPECIALTY FOODS-CORNBRD/HUSHPUPPY MIX,4123480711,4123401020,GD HUSHPUPPY DELUXE MIX,10 OZ,8,null,BAKING MIXES,SPECIALTY FOODS-CORNBRD/HUSHPUPPY MIX,GD HUSHPUPPY DELUXE MIX,4123480711,4123401020,null,8,INCLUDE
62845,CAJUN INJECTOR,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,2217451953,2217451953,FS CAJUN INJECTOR CREOLE BUTTER PLASTIC BOTTLE,DISPLAY,36,CAJUN INJECTOR,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,null,null,2217451953,DISPLAY,36,INCLUDE
62846,CAJUN INJECTOR,CONDIMENTS & SAUCES,SPECIALTY FOODS-MARINADES,2217405000,2217405000,FS CAJUN INJECTOR ASSORTED PLASTIC BOTTLE,DISPLAY,36,null,null,null,FS CAJUN INJECTOR ASSORTED PLASTIC BOTTLE,2217405000,2217405000,DISPLAY,36,INCLUDE
62885,ZATARAINS,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,7142902437,7142901384,FISH FRY SEASONED,12 OZ,8,ZATARAINS,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,null,FISH FRY SEASONED,7142902437,7142901384,12 OZ,8,INCLUDE
62919,GOLDEN DIPT,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,4123471311,4123401028,GD FISH N CHIPS BATTER,10 OZ,8,GOLDEN DIPT,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,null,GD FISH N CHIPS BATTER,4123471311,4123401028,10 OZ,null,INCLUDE
62927,GOLDEN DIPT,BAKING MIXES,SPECIALTY FOODS-BATTER MIX,4123470132,4123401032,GD TEMPURA BATTER,8 OZ,8,null,BAKING MIXES,SPECIALTY FOODS-BATTER MIX,GD TEMPURA BATTER,4123470132,4123401032,null,8,INCLUDE
62943,GOLDEN DIPT,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,4123480911,4123401019,GD SEAFOOD FRY MIX,10 OZ,8,GOLDEN DIPT,null,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,null,4123480911,4123401019,10 OZ,8,INCLUDE
62984,GOLDEN DIPT,BAKING MIXES,SPECIALTY FOODS-BATTER MIX,4123441611,4123401026,GD CRACKER MEAL,10 OZ,8,null,null,SPECIALTY FOODS-BATTER MIX,GD CRACKER MEAL,4123441611,null,10 OZ,8,INCLUDE
62992,GOLDEN DIPT,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,4123471911,4123401023,GD FISH FRY,10 OZ,8,GOLDEN DIPT,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,GD FISH FRY,4123471911,4123401023,10 OZ,8,INCLUDE
63024,GOLDEN DIPT,BAKING MIXES,SPECIALTY FOODS-BATTER MIX,4123471511,4123401027,GD BEER BATTER MIX,10 OZ,8,null,BAKING MIXES,SPECIALTY FOODS-BATTER MIX,GD BEER BATTER MIX,4123471511,null,10 OZ,8,INCLUDE
63032,GOLDEN DIPT,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,4123471091,4123401029,GD CAJUN FISH FRY,10 OZ,8,null,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,null,4123471091,4123401029,null,8,INCLUDE
63230,ZATARAINS,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,7142901070,7142901070,SEASONED SHRIMP FRI,10 OZ,12,ZATARAINS,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,SEASONED SHRIMP FRI,7142901070,null,10 OZ,null,INCLUDE
63248,ZATARAINS,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,7142901069,7142901069,SEASONED FISH FRI,10 OZ,12,ZATARAINS,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,null,SEASONED FISH FRI,7142901069,null,null,12,INCLUDE
63305,ZATARAINS,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,7142901068,7142901068,WONDERFUL FISH FRI,10 OZ,12,ZATARAINS,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,WONDERFUL FISH FRI,7142901068,7142901068,null,12,INCLUDE
68684,ZATARAINS,SPECIALTY FOODS,MUSTARD,7142903069,7142901026,CREOLE MUSTARD,5.25 OZ,1,null,SPECIALTY FOODS,null,CREOLE MUSTARD,7142903069,7142901026,5.25 OZ,1,INCLUDE
69732,ZATARAINS,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,7142902484,7142902484,ZAT NEW ORLEANS FISH FRY,10 OZ,12,ZATARAINS,null,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,ZAT NEW ORLEANS FISH FRY,7142902484,null,10 OZ,12,INCLUDE
69898,OLD BAY,"SALT, SEASONINGS, SPICES",SPICES & SEASONINGS,7032882053,7032882053,SEASONING,2.62 OZ,12,OLD BAY,"SALT, SEASONINGS, SPICES",SPICES & SEASONINGS,SEASONING,null,7032882053,null,12,INCLUDE
71928,CHOLULA,CONDIMENTS & SAUCES,HISPANIC-MEXICAN SAUCES SALSA/PICANTE,0,4973309101,MEXICAN HOT SAUCE,5 OZ,1,null,null,HISPANIC-MEXICAN SAUCES SALSA/PICANTE,MEXICAN HOT SAUCE,null,4973309101,null,1,INCLUDE
71936,CHOLULA,CONDIMENTS & SAUCES,HISPANIC-MEXICAN SAUCES SALSA/PICANTE,0,4973300212,MEXICAN HOT SAUCE,2 OZ,1,null,null,HISPANIC-MEXICAN SAUCES SALSA/PICANTE,MEXICAN HOT SAUCE,0,4973300212,2 OZ,1,INCLUDE
72082,CHOLULA,CONDIMENTS & SAUCES,HISPANIC-MEXICAN SAUCES SALSA/PICANTE,0,4973393011,CHIPOTLE HOT SAUCE,5 OZ,1,CHOLULA,CONDIMENTS & SAUCES,HISPANIC-MEXICAN SAUCES SALSA/PICANTE,CHIPOTLE HOT SAUCE,0,4973393011,5 OZ,1,INCLUDE
72140,ZATARAINS,"VEGETABLES, DRIED",SPECIALTY FOODS-PACKAGED FLAVORED RICE,7142909755,7142901459,WHITE BEAN SEAS MIX,2.4 OZ,12,ZATARAINS,"VEGETABLES, DRIED",SPECIALTY FOODS-PACKAGED FLAVORED RICE,WHITE BEAN SEAS MIX,7142909755,7142901459,2.4 OZ,12,INCLUDE
72157,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7142901440,7142901440,CRABBOIL PRESEASONED,4 OZ,12,null,null,null,null,7142901440,7142901440,4 OZ,12,INCLUDE
72405,CHOLULA,CONDIMENTS & SAUCES,HISPANIC-MEXICAN SAUCES SALSA/PICANTE,0,4973394011,CHILI LIME HOT SAUCE,5 OZ,1,CHOLULA,CONDIMENTS & SAUCES,HISPANIC-MEXICAN SAUCES SALSA/PICANTE,null,0,4973394011,5 OZ,1,INCLUDE
73080,ZATARAINS,"VEGETABLES, DRIED",SPECIALTY FOODS-PACKAGED FLAVORED RICE,7142909530,7142901454,RED BEAN SEAS MIX,2.4 OZ,12,ZATARAINS,"VEGETABLES, DRIED",SPECIALTY FOODS-PACKAGED FLAVORED RICE,RED BEAN SEAS MIX,7142909530,7142901454,2.4 OZ,12,INCLUDE
73155,OLD BAY,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7032800523,7032801045,SEASONING,6 OZ,8,OLD BAY,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,SEASONING,7032800523,null,6 OZ,8,INCLUDE
73163,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7142901570,7142901328,CRABBOIL DRY,3 OZ,6,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,CRABBOIL DRY,7142901570,7142901328,3 OZ,6,INCLUDE
73171,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7142914486,7142901327,CRABBOIL LIQUID,4 OZ,6,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,CRABBOIL LIQUID,7142914486,7142901327,4 OZ,6,INCLUDE
73205,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7142901573,7142901573,CRABBOIL PRESEASONED,16 OZ,12,null,"SALT, SEASONINGS, SPICES",null,CRABBOIL PRESEASONED,7142901573,7142901573,16 OZ,null,INCLUDE
73213,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7142912101,7142912101,CREOLE SEASONING,8 OZ,12,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,CREOLE SEASONING,null,7142912101,8 OZ,12,INCLUDE
73536,ZATARAINS,"VEGETABLES, DRIED",SPECIALTY FOODS-PACKAGED FLAVORED RICE,7142909542,7142901452,GUMBO BASE,4.5 OZ,12,null,"VEGETABLES, DRIED",SPECIALTY FOODS-PACKAGED FLAVORED RICE,GUMBO BASE,null,7142901452,4.5 OZ,12,INCLUDE
73700,ADOLPHS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-DRY SEASONING MIX,2150001038,2150001038,MEAT MARINADE,1 OZ,24,ADOLPHS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-DRY SEASONING MIX,null,null,2150001038,1 OZ,null,INCLUDE
73841,LAWRYS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,2150000036,2150003600,GARLIC POWDER,2.9 OZ,12,LAWRYS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,GARLIC POWDER,2150000036,null,2.9 OZ,null,INCLUDE
73932,LAWRYS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,2150000043,2150004300,GARLIC PEPPER,2.6 OZ,12,LAWRYS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,GARLIC PEPPER,2150000043,2150004300,2.6 OZ,12,INCLUDE
74260,GOLDEN DIPT,CONDIMENTS & SAUCES,SPECIALTY FOODS-SEAFOOD/COCKTAIL SAUCES,4123411376,4123401038,GD SEAFOOD COCKTAIL SAUCE,8 OZ,12,GOLDEN DIPT,null,SPECIALTY FOODS-SEAFOOD/COCKTAIL SAUCES,GD SEAFOOD COCKTAIL SAUCE,4123411376,4123401038,8 OZ,12,INCLUDE
74336,GOLDEN DIPT,CONDIMENTS & SAUCES,SPECIALTY FOODS-SEAFOOD/COCKTAIL SAUCES,4123411676,4123401024,GD TARTAR SAUCE FAT FREE,8 OZ,6,null,CONDIMENTS & SAUCES,SPECIALTY FOODS-SEAFOOD/COCKTAIL SAUCES,GD TARTAR SAUCE FAT FREE,4123411676,null,8 OZ,6,INCLUDE
74344,GOLDEN DIPT,CONDIMENTS & SAUCES,SPECIALTY FOODS-SEAFOOD/COCKTAIL SAUCES,4123411476,4123401039,GD HOT COCKTAIL SAUCE,8 OZ,12,GOLDEN DIPT,CONDIMENTS & SAUCES,SPECIALTY FOODS-SEAFOOD/COCKTAIL SAUCES,null,null,4123401039,8 OZ,12,INCLUDE
74369,GOLDEN DIPT,CONDIMENTS & SAUCES,SPECIALTY FOODS-SEAFOOD/COCKTAIL SAUCES,4123411176,4123401025,GD TARTAR SAUCE,8 OZ,6,GOLDEN DIPT,CONDIMENTS & SAUCES,SPECIALTY FOODS-SEAFOOD/COCKTAIL SAUCES,GD TARTAR SAUCE,4123411176,4123401025,8 OZ,null,INCLUDE
74393,GOLDEN DIPT,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,4123411083,4123411083,GD SHRIMP N CRAB BOIL,3 OZ,12,null,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,GD SHRIMP N CRAB BOIL,4123411083,4123411083,3 OZ,12,INCLUDE
74864,ADOLPHS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-DRY SEASONING MIX,2150001043,2150001043,MEAT TEND UNSEA,3.5 OZ,12,ADOLPHS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-DRY SEASONING MIX,MEAT TEND UNSEA,2150001043,2150001043,3.5 OZ,12,INCLUDE
